id,ratio,TP,Cell_Area,Nuclear_Mean,Cell_Mean,ratio_new,time,fruc,obs,frud_ic,obs_id,fruc_scale_fac,fruc_mM
20,1.2193094181858672,5,12.322832,2283.4,1872.699387,0.21930941818586724,2.5,2,0.21930941818586724,2,1,2,110
20,1.2232219623489866,6,12.322832,2264.716667,1851.435583,0.22322196234898667,3,2,0.22322196234898667,2,1,2,110
20,1.2187159808871726,7,12.322832,2256.9,1851.867076,0.21871598088717253,3.5,2,0.21871598088717253,2,1,2,110
20,1.309260838325398,8,12.322832,2428.057692,1854.525562,0.30926083832539797,4,2,0.30926083832539797,2,1,2,110
20,1.2763664217332433,9,12.322832,2330.454545,1825.850716,0.2763664217332433,4.5,2,0.2763664217332433,2,1,2,110
20,1.3236615116277808,10,12.322832,2394.75,1809.186094,0.3236615116277807,5,2,0.32366151162778073,2,1,2,110
20,1.3254069492183203,11,12.322832,2408.977273,1817.537832,0.3254069492183203,5.5,2,0.32540694921832025,2,1,2,110
20,1.318400555989547,12,12.322832,2394.840909,1816.474438,0.3184005559895471,6,2,0.3184005559895471,2,1,2,110
20,1.324624527970828,13,12.322832,2370.636364,1789.666667,0.32462452797082797,6.5,2,0.32462452797082797,2,1,2,110
20,1.2901580813382956,14,12.322832,2298.977273,1781.93456,0.2901580813382956,7,2,0.2901580813382957,2,1,2,110
20,1.3129250431809105,15,12.322832,2325.090909,1770.924335,0.31292504318091047,7.5,2,0.31292504318091047,2,1,2,110
20,1.3091329691434879,16,12.322832,2307.931818,1762.94683,0.309132969143488,8,2,0.309132969143488,2,1,2,110
20,1.225356831849092,17,11.264429,2207.681818,1801.66443,0.2253568318490919,8.5,2,0.2253568318490919,2,1,2,110
20,1.2892932479293742,18,12.322832,2288.840909,1775.267894,0.28929324792937416,9,2,0.28929324792937416,2,1,2,110
20,1.3067628592624128,19,12.322832,2278.588235,1743.689162,0.3067628592624127,9.5,2,0.3067628592624127,2,1,2,110
20,1.2604648849058486,20,12.322832,2215.843137,1757.957055,0.2604648849058487,10,2,0.26046488490584874,2,1,2,110
